id,Name,Calories,Grams of Protein,Grams of Fat,Grams of Sodium,Grams of Fiber,Grams of Carbohydrates,Grams of Sugars,Cups Per Serving,Box Image,CMU Link
1,100% Bran,70,4,1,130,10,5,6,0.33,https://www.innit.com/public/products/images/00043000180327-vnixRi8UOOMAoo4-en-US-0_s500.jpg,cmu://808871/35455085/Screenshot+2024-12-03+2.56.41+PM.png
2,All-Bran,70,4,1,260,9,7,5,0.33,https://images.kglobalservices.com/www.allbran.ca_en/en_ca/product/product_4508444/kicproductimage-124883_ab_orig_525g_claims_3d_e.png,cmu://808871/35515399/Screenshot+2024-12-04+9.20.11+PM.png
3,All-Bran with Extra Fiber,50,4,0,140,14,8,0,0.5,https://i.pinimg.com/originals/8c/83/0c/8c830cf968e0c210fb9dfb46d35d067a.jpg,cmu://808871/35558172/Screenshot+2024-12-05+3.15.13+PM.png
4,Almond Delight,110,2,2,200,1,14,8,0.75,https://i.pinimg.com/originals/21/d2/f2/21d2f255ffedc36ab943d4336ba070ae.jpg,cmu://808871/35558344/Screenshot+2024-12-05+3.18.53+PM.png
5,Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,0.75,https://target.scene7.com/is/image/Target/GUEST_fd514de8-74e2-43be-93d9-2ee9a565189f?wid=488&hei=488&fmt=pjpeg,cmu://808871/35515481/Screenshot+2024-12-04+9.25.45+PM.png
6,Apple Jacks,110,2,0,125,1,11,14,1,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Apple-Jacks-Box-Small.jpg/220px-Apple-Jacks-Box-Small.jpg,cmu://808871/35564941/Screenshot+2024-12-05+9.27.23+PM.png
7,Basic 4,130,3,2,210,2,18,8,0.75,https://image.influenster.com/eyJidWNrZXQiOiAiaW5mbHVlbnN0ZXJfcHJvZHVjdGlvbiIsICJleHRlbmQiOiB7fSwgImtleSI6ICJtZWRpYS9wcm9kdWN0L2ltYWdlL3Byb2R1Y3QvaW1hZ2UvMDAwMTYwMDAyNzUzNjJfQzFDMV9zMTEwXzEzMDkxNjU0LWZiZDAtNDhlZi1iOTFmLTRkYTk2NTM1YzIyYi5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiaGVpZ2h0IjogNzUwLCAiYmFja2dyb3VuZCI6IHsiYWxwaGEiOiAwLCAiYiI6IDEsICJyIjogMSwgImciOiAxfSwgImZpdCI6ICJpbnNpZGUiLCAid2lkdGgiOiA3NTAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiB0cnVlfX19,cmu://808871/35564962/Screenshot+2024-12-05+9.29.15+PM.png
8,Bran Chex,90,2,1,200,4,15,6,0.67,https://live.staticflickr.com/3146/2608064112_50f7c81bba.jpg,cmu://808871/35564973/Screenshot+2024-12-05+9.30.42+PM.png
9,Bran Flakes,90,3,0,210,5,13,5,0.67,https://images-na.ssl-images-amazon.com/images/I/71vVbfVBWfL._SY445_.jpg,cmu://808871/35564983/Screenshot+2024-12-05+9.31.28+PM.png
10,Cap'n'Crunch,120,1,2,220,0,12,12,0.75,https://lh3.googleusercontent.com/proxy/_Axx0GJhoEBLl3aPn8htV92L3cv4FYE3UfPR48x-Ju9YT-9qaZ1F6mhQxTNecoKHkKoj4dxdmaA5dRysCGTo4MqYyT_Qs48kfgb1q0MucoeM4N9e8_gUpfN6F3sbbHj6VnB3hDE4-Q,cmu://808871/35564994/Screenshot+2024-12-05+9.33.36+PM.png
11,Cheerios,110,6,2,290,2,17,1,1.25,https://www.kroger.com/product/images/xlarge/front/0001600012541,cmu://808871/35565005/Screenshot+2024-12-05+9.34.49+PM.png
12,Cinnamon Toast Crunch,120,1,3,210,0,13,9,0.75,https://www.kroger.com/product/images/xlarge/front/0001600012254,cmu://808871/35565014/Screenshot+2024-12-05+9.35.50+PM.png
13,Clusters,110,3,2,140,2,13,7,0.5,https://i.pinimg.com/originals/97/3e/aa/973eaa5c1a91ccd1ea777d89cc977227.jpg,cmu://808871/35565051/Screenshot+2024-12-05+9.39.49+PM.png
