Rank,Username,Tiktok Link,Name,Subscribers Count,Views. Avg,Likes. Avg,Comments. Avg,Shares. Avg
1,badbunny,https://www.tiktok.com/@badbunny,Bad Bunny,23.4M,63.1M,10.3M,65.2K,108.6K
2,noahschnapp,https://www.tiktok.com/@noahschnapp,Noah Schnapp,26.1M,23.4M,4.8M,46.7K,22.1K
3,khaby.lame,https://www.tiktok.com/@khaby.lame,Khabane lame,145.9M,47.5M,2.5M,46K,9.4K
4,coopernoriega,https://www.tiktok.com/@coopernoriega,Cooper Noriega,3.2M,31M,1.3M,120.9K,8.4K
5,avrillavigne,https://www.tiktok.com/@avrillavigne,Avril Lavigne,4M,24.7M,3.5M,32.1K,22.7K
6,therealcalebmclaughlin,https://www.tiktok.com/@therealcalebmclaughlin,Caleb McLaughlin,9M,25.3M,3.1M,37.7K,8.8K
7,zeth,https://www.tiktok.com/@zeth,Zeth,12.8M,14M,3M,7.6K,22.6K
8,daniel.labelle,https://www.tiktok.com/@daniel.labelle,Daniel LaBelle,26.6M,9.2M,1.4M,15.8K,64.7K
9,charlidamelio,https://www.tiktok.com/@charlidamelio,charli d’amelio,143.3M,18.5M,1.2M,29.6K,12.7K
10,scarlettsspam2,https://www.tiktok.com/@scarlettsspam2,scarlett,2.1M,17.9M,845.8K,53.9K,6.3K
11,pilusion,https://www.tiktok.com/@pilusion,Pilusion,191.2K,18.6M,1.4M,9K,21.7K
12,enhypen,https://www.tiktok.com/@enhypen,enhypen,11.9M,6.2M,1.8M,37.7K,26.8K
13,onwardwanna,https://www.tiktok.com/@onwardwanna,Wanna,6.2M,9.8M,2.1M,19.2K,5.2K
14,domelipa,https://www.tiktok.com/@domelipa,Dominik,55.2M,11.3M,1.7M,17.7K,5.8K
15,jypestraykids,https://www.tiktok.com/@jypestraykids,Stray Kids,12.8M,6.3M,1.5M,25.8K,20.9K
16,nessaabarrett,https://www.tiktok.com/@nessaabarrett,Ness,18.6M,11.2M,2.3M,8.3K,2.8K
17,kwo.owk,https://www.tiktok.com/@kwo.owk,KWOOWK,1.9M,7.7M,730.6K,48.2K,1.4K
18,oborjaa,https://www.tiktok.com/@oborjaa,Jr Borja,2.5M,9.8M,1.2M,6.9K,16.1K
19,jeremiahongj,https://www.tiktok.com/@jeremiahongj,Jeo Ong,1.5M,5.6M,1M,33.1K,12.7K
20,pongamoslo_a_prueba,https://www.tiktok.com/@pongamoslo_a_prueba,Pongámoslo a Prueba,34.8M,12.7M,1.9M,4.2K,6.2K
21,siscakohl,https://www.tiktok.com/@siscakohl,Sisca Kohl,12.1M,8.4M,1.2M,17K,6.5K
22,amauryguichon,https://www.tiktok.com/@amauryguichon,Amaury Guichon,12.4M,10.6M,1.6M,5.7K,8.4K
23,iamferv,https://www.tiktok.com/@iamferv,Fernanda,29.9M,10.1M,1.5M,10K,5.3K
24,lelepons,https://www.tiktok.com/@lelepons,Lele Pons,27.3M,13.5M,1.7M,2.4K,5.9K
25,lyczak,https://www.tiktok.com/@lyczak,Łyczuu,2.7M,7.8M,929.2K,12.5K,11.3K
26,paytonking,https://www.tiktok.com/@paytonking,Payton King,5.2M,5.3M,1.2M,13.5K,13.8K
27,yzn47,https://www.tiktok.com/@yzn47,يزن الأسمر,6.4M,17.1M,723.5K,2.5K,11.4K
28,dylanmulvaney,https://www.tiktok.com/@dylanmulvaney,Dylan Mulvaney,6.3M,5.4M,1.3M,19.3K,3.3K
29,laislauren_,https://www.tiktok.com/@laislauren_,Lais Lauren de oliveira,271.6K,4.6M,1M,18.6K,12.6K
30,luis_medellin_,https://www.tiktok.com/@luis_medellin_,Luis Medellín,1.4M,7.4M,779.2K,15.4K,9.8K
31,mieayamthebstt,https://www.tiktok.com/@mieayamthebstt,Unaa,15.4M,12.6M,1.1M,6.1K,4.3K
32,lexibrookerivera,https://www.tiktok.com/@lexibrookerivera,Lexi Rivera,22.3M,11.2M,1.6M,5.3K,3K
33,shxtsngigs,https://www.tiktok.com/@shxtsngigs,ShxtsNGigs Podcast,4M,6.3M,1.3M,2.7K,14.4K
34,addisonre,https://www.tiktok.com/@addisonre,Addison Rae,88.2M,14.2M,1.1M,5.8K,3.1K
35,victormelo,https://www.tiktok.com/@victormelo,Victor Melo,21.3M,7.2M,965.3K,8K,11.9K
36,lilihayes,https://www.tiktok.com/@lilihayes,Lili Hayes,5.3M,5.7M,925.3K,6.5K,18.6K
37,luvadepedreiro,https://www.tiktok.com/@luvadepedreiro,Iran Ferreira (Lai),17.9M,9.5M,1.1M,7.8K,4.4K
38,gavincasalegno,https://www.tiktok.com/@gavincasalegno,GavinCasalegno,2.4M,6.4M,737.8K,18.2K,8K
39,kimberly.loaiza,https://www.tiktok.com/@kimberly.loaiza,Kimberly Loaiza,64.8M,7.2M,1.1M,11.8K,2.6K
40,jack_papho69,https://www.tiktok.com/@jack_papho69,แจ็ก แปปโฮ,6.8M,10M,1.1M,2.8K,7.1K
41,justinflom,https://www.tiktok.com/@justinflom,JustinFlom,6.1M,12.9M,789.2K,4.5K,6.2K
42,iben_ma,https://www.tiktok.com/@iben_ma,Iben M.A.,7.4M,6.4M,530.5K,29.6K,1.7K
43,ani__mel,https://www.tiktok.com/@ani__mel,Melody ,1.2M,4.2M,1.3M,6.8K,13.3K
44,montpantoja,https://www.tiktok.com/@montpantoja,Montpantoja,34.2M,9.1M,1.4M,4K,4.2K
45,earlthejackass,https://www.tiktok.com/@earlthejackass,Earl,110.5K,6.3M,551.1K,7.3K,22.2K
46,vflow_xo,https://www.tiktok.com/@vflow_xo,Vanessa Simeon,5.7M,3.6M,975.5K,7.2K,22.1K
47,bayashi.tiktok,https://www.tiktok.com/@bayashi.tiktok,バヤシBayashi,31.2M,9.2M,1M,7.7K,2.8K
48,selenagomez,https://www.tiktok.com/@selenagomez,Selena Gomez,41.9M,6.4M,1.3M,6.7K,4.4K
49,plik..plak,https://www.tiktok.com/@plik..plak,plak plik,299.6K,11.9M,1.1M,4.6K,2.1K
50,wessamq,https://www.tiktok.com/@wessamq,wessamq,5.4M,7.5M,718.5K,7.6K,9K
51,readyfredi,https://www.tiktok.com/@readyfredi,fredi,2.6M,3.3M,721.5K,12.7K,22K
52,meerqeen,https://www.tiktok.com/@meerqeen,Meerqeen,941.1K,7M,1M,5.9K,5.8K
53,mrbeast,https://www.tiktok.com/@mrbeast,MrBeast,37.5M,7.6M,1.1M,7.9K,1.2K
54,soysuco,https://www.tiktok.com/@soysuco,soysuco,11.5M,5M,629.6K,18.4K,1.6K
55,eupereiraoficial,https://www.tiktok.com/@eupereiraoficial,Eu Pereira,7.4M,6.9M,854.1K,4.1K,6.2K
56,ryanbakery,https://www.tiktok.com/@ryanbakery,2M,6M,597.4K,7.6K,9.1K
57,starlinecustoms,https://www.tiktok.com/@starlinecustoms,Starline Customs,74.5K,6.9M,408.5K,7.5K,13.6K
58,terryreloaded,https://www.tiktok.com/@terryreloaded,Terry Reloaded,6M,4.3M,849K,5.2K,11K
59,txt.bighitent,https://www.tiktok.com/@txt.bighitent,TOMORROW X TOGETHER,17.4M,2.8M,739.2K,21.5K,6.6K
60,twice_tiktok_official,https://www.tiktok.com/@twice_tiktok_official,TWICE,16.7M,5.2M,875.5K,8K,4.5K
61,bellapoarch,https://www.tiktok.com/@bellapoarch,Bella Poarch,90.5M,7.5M,679.8K,9.5K,1.6K
62,miakhalifa,https://www.tiktok.com/@miakhalifa,Mia K.,34.5M,8.8M,969.8K,4.3K,2.3K
63,jarvali,https://www.tiktok.com/@jarvali,Jarvis,3M,3.9M,1M,8.8K,5K
64,ogikdp,https://www.tiktok.com/@ogikdp,Zona Ogik | YT MELLO PROJECT,3.5M,8.8M,862.1K,4.4K,1.9K
65,nicocaponecomedy,https://www.tiktok.com/@nicocaponecomedy,nicocapone.comedy,22.2M,8.1M,453.7K,2.1K,11K
66,qpark,https://www.tiktok.com/@qpark,Q Park,32.5M,7.5M,417.7K,3K,11.6K
67,2innocents,https://www.tiktok.com/@2innocents,AJ AND JAY,87.6K,4.2M,785.8K,5.7K,8K
68,juaniquilador,https://www.tiktok.com/@juaniquilador,JuanSGuarnizo,10M,5.3M,903.8K,3.7K,5.7K
69,timetreats,https://www.tiktok.com/@timetreats,Time Treats,7.2M,10.3M,550.7K,5K,2.6K
70,papi_dre1,https://www.tiktok.com/@papi_dre1,Dre,3M,3.9M,834.1K,9.3K,3.7K
71,keirariff,https://www.tiktok.com/@keirariff,Keira,4.3M,4.3M,790.8K,5.3K,7.3K
72,matsudake,https://www.tiktok.com/@matsudake,M2DK/マツダ家の日常,5.9M,10.7M,489.5K,5.6K,2.2K
73,dojacat,https://www.tiktok.com/@dojacat,Doja Cat,25.7M,3.5M,685.1K,12.4K,3K
74,ladygaga,https://www.tiktok.com/@ladygaga,ladygaga,6.8M,3.7M,694K,10.5K,3.8K
75,georgieanthony,https://www.tiktok.com/@georgieanthony,georgie munoz,2.5M,2.8M,544.4K,3.6K,20.2K
76,jdpantoja,https://www.tiktok.com/@jdpantoja,JD Pantoja,29.2M,5.4M,816.3K,6.7K,1.4K
